flight_number,flight_date,origin,destination,tail_number,aircraft_type,gross_weight_cargo_kg,gross_volume_cargo_m3,passenger_count,baggage_weight_kg,fuel_weight_kg,fuel_price_per_kg,cargo_price_per_kg
AB401,2024-02-27,KUL,PVG,TN-ZFB,Airbus A330-300,10500,95,292,5256,43250,0.85,3.72
AB301,2024-02-28,SIN,HKG,TN-ZND,Airbus A330-200,10200,92,305,5490,29340,0.85,3.75
AB101,2024-02-28,KUL,SIN,TN-ZNB,Boeing 737-800,1450,38,185,2960,5220,0.85,1.78
AB102,2024-02-28,SIN,KUL,TN-ZZB,Boeing 737-800,1490,39,178,2848,5160,0.85,1.82
AB201,2024-02-28,KUL,BKK,TN-ZNA,Airbus A330-300,11500,105,290,5220,18880,0.85,2.1
AB501,2024-02-28,BKK,SGN,TN-ZNC,Boeing 737-900ER,1650,42,175,2800,5360,0.85,1.68
AB101,2024-02-29,KUL,SIN,TN-ZNB,Boeing 737-800,1480,39,182,2912,5210,0.85,1.8
AB102,2024-02-29,SIN,KUL,TN-ZZB,Boeing 737-800,1520,40,175,2800,5150,0.85,1.85
AB201,2024-02-29,KUL,BKK,TN-ZNA,Airbus A330-300,11700,108,285,5130,18870,0.85,2.12
AB401,2024-02-29,KUL,PVG,TN-ZFB,Airbus A330-300,11200,102,288,5184,43200,0.85,3.78
AB101,2024-03-01,KUL,SIN,TN-ZNB,Boeing 737-800,1420,37,168,2688,4950,0.84,1.55
AB102,2024-03-01,SIN,KUL,TN-ZZB,Boeing 737-800,1460,38,162,2592,4890,0.84,1.58
AB201,2024-03-01,KUL,BKK,TN-ZNA,Airbus A330-300,11200,102,268,4824,18650,0.84,1.92
AB301,2024-03-01,SIN,HKG,TN-ZND,Airbus A330-200,10500,95,272,4896,29100,0.84,3.52
AB501,2024-03-01,BKK,SGN,TN-ZNC,Boeing 737-900ER,1620,41,165,2640,5320,0.84,1.58
AB101,2024-03-02,KUL,SIN,TN-ZNB,Boeing 737-800,1380,36,165,2640,4940,0.84,1.52
AB102,2024-03-02,SIN,KUL,TN-ZZB,Boeing 737-800,1420,37,158,2528,4880,0.84,1.55
AB201,2024-03-02,KUL,BKK,TN-ZNA,Airbus A330-300,10900,99,265,4770,18630,0.84,1.88
AB401,2024-03-02,KUL,PVG,TN-ZFB,Airbus A330-300,10800,98,275,4950,43100,0.84,3.62
AB101,2024-03-03,KUL,SIN,TN-ZNB,Boeing 737-800,1350,35,162,2592,4930,0.84,1.5
AB102,2024-03-03,SIN,KUL,TN-ZZB,Boeing 737-800,1390,36,155,2480,4870,0.84,1.52
AB201,2024-03-03,KUL,BKK,TN-ZNA,Airbus A330-300,10600,96,262,4716,18610,0.84,1.85
AB301,2024-03-03,SIN,HKG,TN-ZND,Airbus A330-200,10200,92,268,4824,29050,0.84,3.48
AB101,2024-03-04,KUL,SIN,TN-ZNB,Boeing 737-800,1320,34,158,2528,4920,0.84,1.48
AB102,2024-03-04,SIN,KUL,TN-ZZB,Boeing 737-800,1360,35,152,2432,4860,0.84,1.5
AB201,2024-03-04,KUL,BKK,TN-ZNA,Airbus A330-300,10400,94,258,4644,18590,0.84,1.82
AB501,2024-03-04,BKK,SGN,TN-ZNC,Boeing 737-900ER,1580,40,162,2592,5280,0.84,1.55
AB101,2024-03-05,KUL,SIN,TN-ZNB,Boeing 737-800,1290,33,155,2480,4910,0.84,1.45
AB102,2024-03-05,SIN,KUL,TN-ZZB,Boeing 737-800,1330,34,148,2368,4850,0.84,1.48
AB201,2024-03-05,KUL,BKK,TN-ZNA,Airbus A330-300,10200,92,255,4590,18570,0.84,1.8
AB401,2024-03-05,KUL,PVG,TN-ZFB,Airbus A330-300,10500,95,268,4824,43000,0.84,3.55
AB301,2024-03-06,SIN,HKG,TN-ZND,Airbus A330-200,9900,89,265,4770,29000,0.84,3.45
AB101,2024-03-06,KUL,SIN,TN-ZNB,Boeing 737-800,1260,32,152,2432,4900,0.84,1.42
AB102,2024-03-06,SIN,KUL,TN-ZZB,Boeing 737-800,1300,33,145,2320,4840,0.84,1.45
AB201,2024-03-06,KUL,BKK,TN-ZNA,Airbus A330-300,10000,90,252,4536,18550,0.84,1.78
AB501,2024-03-06,BKK,SGN,TN-ZNC,Boeing 737-900ER,1550,39,158,2528,5260,0.84,1.52
AB101,2024-03-07,KUL,SIN,TN-ZNB,Boeing 737-800,1230,31,150,2400,4890,0.84,1.4
AB102,2024-03-07,SIN,KUL,TN-ZZB,Boeing 737-800,1270,32,142,2272,4830,0.84,1.42
AB201,2024-03-07,KUL,BKK,TN-ZNA,Airbus A330-300,9800,88,248,4464,18530,0.84,1.75
AB401,2024-03-07,KUL,PVG,TN-ZFB,Airbus A330-300,10200,92,262,4716,42950,0.84,3.5
AB101,2024-03-08,KUL,SIN,TN-ZNB,Boeing 737-800,1200,30,148,2368,4880,0.84,1.38
AB102,2024-03-08,SIN,KUL,TN-ZZB,Boeing 737-800,1240,31,140,2240,4820,0.84,1.4
AB201,2024-03-08,KUL,BKK,TN-ZNA,Airbus A330-300,9600,86,245,4410,18510,0.84,1.72
AB301,2024-03-08,SIN,HKG,TN-ZND,Airbus A330-200,9600,86,260,4680,28950,0.84,3.42
AB501,2024-03-08,BKK,SGN,TN-ZNC,Boeing 737-900ER,1520,38,155,2480,5240,0.84,1.5
AB101,2024-03-09,KUL,SIN,TN-ZNB,Boeing 737-800,1180,29,145,2320,4870,0.84,1.35
AB102,2024-03-09,SIN,KUL,TN-ZZB,Boeing 737-800,1220,30,138,2208,4810,0.84,1.38
AB201,2024-03-09,KUL,BKK,TN-ZNA,Airbus A330-300,9400,84,242,4356,18490,0.84,1.7
AB401,2024-03-09,KUL,PVG,TN-ZFB,Airbus A330-300,9900,89,258,4644,42900,0.84,3.45
AB101,2024-03-10,KUL,SIN,TN-ZNB,Boeing 737-800,1160,28,142,2272,4860,0.84,1.32
AB102,2024-03-10,SIN,KUL,TN-ZZB,Boeing 737-800,1200,29,135,2160,4800,0.84,1.35
AB201,2024-03-10,KUL,BKK,TN-ZNA,Airbus A330-300,9200,82,238,4284,18470,0.84,1.68
AB301,2024-03-10,SIN,HKG,TN-ZND,Airbus A330-200,9300,83,255,4590,28900,0.84,3.38
AB101,2024-03-11,KUL,SIN,TN-ZNB,Boeing 737-800,1140,27,140,2240,4850,0.84,1.3
AB102,2024-03-11,SIN,KUL,TN-ZZB,Boeing 737-800,1180,28,132,2112,4790,0.84,1.32
AB201,2024-03-11,KUL,BKK,TN-ZNA,Airbus A330-300,9000,80,235,4230,18450,0.84,1.65
AB501,2024-03-11,BKK,SGN,TN-ZNC,Boeing 737-900ER,1480,37,152,2432,5220,0.84,1.48
AB101,2024-03-12,KUL,SIN,TN-ZNB,Boeing 737-800,1120,26,138,2208,4840,0.84,1.28
AB102,2024-03-12,SIN,KUL,TN-ZZB,Boeing 737-800,1160,27,130,2080,4780,0.84,1.3
AB201,2024-03-12,KUL,BKK,TN-ZNA,Airbus A330-300,8800,78,232,4176,18430,0.84,1.62
AB401,2024-03-12,KUL,PVG,TN-ZFB,Airbus A330-300,9600,86,252,4536,42850,0.84,3.4
AB301,2024-03-13,SIN,HKG,TN-ZND,Airbus A330-200,9000,80,250,4500,28850,0.84,3.35
AB101,2024-03-13,KUL,SIN,TN-ZNB,Boeing 737-800,1100,25,135,2160,4830,0.84,1.25
AB102,2024-03-13,SIN,KUL,TN-ZZB,Boeing 737-800,1140,26,128,2048,4770,0.84,1.28
AB201,2024-03-13,KUL,BKK,TN-ZNA,Airbus A330-300,8600,76,228,4104,18410,0.84,1.6
AB501,2024-03-13,BKK,SGN,TN-ZNC,Boeing 737-900ER,1450,36,148,2368,5200,0.84,1.45
AB101,2024-03-14,KUL,SIN,TN-ZNB,Boeing 737-800,1080,24,132,2112,4820,0.84,1.22
AB102,2024-03-14,SIN,KUL,TN-ZZB,Boeing 737-800,1120,25,125,2000,4760,0.84,1.25
AB201,2024-03-14,KUL,BKK,TN-ZNA,Airbus A330-300,8400,74,225,4050,18390,0.84,1.58
AB401,2024-03-14,KUL,PVG,TN-ZFB,Airbus A330-300,9300,83,248,4464,42800,0.84,3.35
AB101,2024-03-15,KUL,SIN,TN-ZNB,Boeing 737-800,1100,25,135,2160,4830,0.84,1.25
AB102,2024-03-15,SIN,KUL,TN-ZZB,Boeing 737-800,1140,26,128,2048,4770,0.84,1.28
AB201,2024-03-15,KUL,BKK,TN-ZNA,Airbus A330-300,8600,76,228,4104,18410,0.84,1.6
AB301,2024-03-15,SIN,HKG,TN-ZND,Airbus A330-200,9100,81,252,4536,28870,0.84,3.38
AB501,2024-03-15,BKK,SGN,TN-ZNC,Boeing 737-900ER,1470,37,150,2400,5210,0.84,1.48
AB101,2024-03-16,KUL,SIN,TN-ZNB,Boeing 737-800,1120,26,138,2208,4840,0.84,1.28
AB102,2024-03-16,SIN,KUL,TN-ZZB,Boeing 737-800,1160,27,130,2080,4780,0.84,1.3
AB201,2024-03-16,KUL,BKK,TN-ZNA,Airbus A330-300,8800,78,232,4176,18430,0.84,1.62
AB401,2024-03-16,KUL,PVG,TN-ZFB,Airbus A330-300,9500,85,252,4536,42820,0.84,3.38
AB101,2024-03-17,KUL,SIN,TN-ZNB,Boeing 737-800,1140,27,140,2240,4850,0.84,1.3
AB102,2024-03-17,SIN,KUL,TN-ZZB,Boeing 737-800,1180,28,132,2112,4790,0.84,1.32
AB201,2024-03-17,KUL,BKK,TN-ZNA,Airbus A330-300,9000,80,235,4230,18450,0.84,1.65
AB301,2024-03-17,SIN,HKG,TN-ZND,Airbus A330-200,9200,82,255,4590,28890,0.84,3.4
AB101,2024-03-18,KUL,SIN,TN-ZNB,Boeing 737-800,1160,28,142,2272,4860,0.84,1.32
AB102,2024-03-18,SIN,KUL,TN-ZZB,Boeing 737-800,1200,29,135,2160,4800,0.84,1.35
AB201,2024-03-18,KUL,BKK,TN-ZNA,Airbus A330-300,9200,82,238,4284,18470,0.84,1.68
AB501,2024-03-18,BKK,SGN,TN-ZNC,Boeing 737-900ER,1500,38,152,2432,5230,0.84,1.5
AB101,2024-03-19,KUL,SIN,TN-ZNB,Boeing 737-800,1180,29,145,2320,4870,0.84,1.35
AB102,2024-03-19,SIN,KUL,TN-ZZB,Boeing 737-800,1220,30,138,2208,4810,0.84,1.38
AB201,2024-03-19,KUL,BKK,TN-ZNA,Airbus A330-300,9400,84,242,4356,18490,0.84,1.7
AB401,2024-03-19,KUL,PVG,TN-ZFB,Airbus A330-300,9800,88,258,4644,42870,0.84,3.42
AB301,2024-03-20,SIN,HKG,TN-ZND,Airbus A330-200,9400,84,258,4644,28920,0.84,3.42
AB101,2024-03-20,KUL,SIN,TN-ZNB,Boeing 737-800,1200,30,148,2368,4880,0.84,1.38
AB102,2024-03-20,SIN,KUL,TN-ZZB,Boeing 737-800,1240,31,140,2240,4820,0.84,1.4
AB201,2024-03-20,KUL,BKK,TN-ZNA,Airbus A330-300,9600,86,245,4410,18510,0.84,1.72
AB501,2024-03-20,BKK,SGN,TN-ZNC,Boeing 737-900ER,1520,38,155,2480,5240,0.84,1.52
AB101,2024-03-21,KUL,SIN,TN-ZNB,Boeing 737-800,1220,31,150,2400,4890,0.84,1.4
AB102,2024-03-21,SIN,KUL,TN-ZZB,Boeing 737-800,1260,32,142,2272,4830,0.84,1.42
AB201,2024-03-21,KUL,BKK,TN-ZNA,Airbus A330-300,9800,88,248,4464,18530,0.84,1.75
AB401,2024-03-21,KUL,PVG,TN-ZFB,Airbus A330-300,10000,90,262,4716,42920,0.84,3.45
AB101,2024-03-22,KUL,SIN,TN-ZNB,Boeing 737-800,1240,32,152,2432,4900,0.84,1.42
AB102,2024-03-22,SIN,KUL,TN-ZZB,Boeing 737-800,1280,33,145,2320,4840,0.84,1.45
AB201,2024-03-22,KUL,BKK,TN-ZNA,Airbus A330-300,10000,90,252,4536,18550,0.84,1.78
AB301,2024-03-22,SIN,HKG,TN-ZND,Airbus A330-200,9600,86,262,4716,28960,0.84,3.45
AB501,2024-03-22,BKK,SGN,TN-ZNC,Boeing 737-900ER,1550,39,158,2528,5260,0.84,1.55
AB101,2024-03-23,KUL,SIN,TN-ZNB,Boeing 737-800,1260,32,155,2480,4910,0.84,1.45
AB102,2024-03-23,SIN,KUL,TN-ZZB,Boeing 737-800,1300,33,148,2368,4850,0.84,1.48
AB201,2024-03-23,KUL,BKK,TN-ZNA,Airbus A330-300,10200,92,255,4590,18570,0.84,1.8
AB401,2024-03-23,KUL,PVG,TN-ZFB,Airbus A330-300,10200,92,265,4770,42970,0.84,3.48
AB101,2024-03-24,KUL,SIN,TN-ZNB,Boeing 737-800,1280,33,158,2528,4920,0.84,1.48
AB102,2024-03-24,SIN,KUL,TN-ZZB,Boeing 737-800,1320,34,150,2400,4860,0.84,1.5
AB201,2024-03-24,KUL,BKK,TN-ZNA,Airbus A330-300,10400,94,258,4644,18590,0.84,1.82
AB301,2024-03-24,SIN,HKG,TN-ZND,Airbus A330-200,9800,88,265,4770,29000,0.84,3.48
AB101,2024-03-25,KUL,SIN,TN-ZNB,Boeing 737-800,1300,34,160,2560,4930,0.85,1.5
AB102,2024-03-25,SIN,KUL,TN-ZZB,Boeing 737-800,1340,35,152,2432,4870,0.85,1.52
AB201,2024-03-25,KUL,BKK,TN-ZNA,Airbus A330-300,10600,96,262,4716,18610,0.85,1.85
AB501,2024-03-25,BKK,SGN,TN-ZNC,Boeing 737-900ER,1580,40,160,2560,5280,0.85,1.58
AB101,2024-03-26,KUL,SIN,TN-ZNB,Boeing 737-800,1320,34,162,2592,4940,0.85,1.52
AB102,2024-03-26,SIN,KUL,TN-ZZB,Boeing 737-800,1360,35,155,2480,4880,0.85,1.55
AB201,2024-03-26,KUL,BKK,TN-ZNA,Airbus A330-300,10800,98,265,4770,18630,0.85,1.88
AB401,2024-03-26,KUL,PVG,TN-ZFB,Airbus A330-300,10500,95,268,4824,43020,0.85,3.52
AB301,2024-03-27,SIN,HKG,TN-ZND,Airbus A330-200,10000,90,268,4824,29040,0.85,3.52
AB101,2024-03-27,KUL,SIN,TN-ZNB,Boeing 737-800,1340,35,165,2640,4950,0.85,1.55
AB102,2024-03-27,SIN,KUL,TN-ZZB,Boeing 737-800,1380,36,158,2528,4890,0.85,1.58
AB201,2024-03-27,KUL,BKK,TN-ZNA,Airbus A330-300,11000,100,268,4824,18650,0.85,1.9
AB501,2024-03-27,BKK,SGN,TN-ZNC,Boeing 737-900ER,1600,41,162,2592,5300,0.85,1.6
AB101,2024-03-28,KUL,SIN,TN-ZNB,Boeing 737-800,1360,35,168,2688,4960,0.85,1.58
AB102,2024-03-28,SIN,KUL,TN-ZZB,Boeing 737-800,1400,36,160,2560,4900,0.85,1.6
AB201,2024-03-28,KUL,BKK,TN-ZNA,Airbus A330-300,11200,102,272,4896,18670,0.85,1.92
AB401,2024-03-28,KUL,PVG,TN-ZFB,Airbus A330-300,10800,98,272,4896,43070,0.85,3.55
AB101,2024-03-29,KUL,SIN,TN-ZNB,Boeing 737-800,1380,36,170,2720,4970,0.85,1.6
AB102,2024-03-29,SIN,KUL,TN-ZZB,Boeing 737-800,1420,37,162,2592,4910,0.85,1.62
AB201,2024-03-29,KUL,BKK,TN-ZNA,Airbus A330-300,11400,104,275,4950,18690,0.85,1.95
AB301,2024-03-29,SIN,HKG,TN-ZND,Airbus A330-200,10200,92,272,4896,29080,0.85,3.55
AB501,2024-03-29,BKK,SGN,TN-ZNC,Boeing 737-900ER,1620,41,165,2640,5320,0.85,1.62
AB101,2024-03-30,KUL,SIN,TN-ZNB,Boeing 737-800,1400,37,172,2752,4980,0.85,1.62
AB102,2024-03-30,SIN,KUL,TN-ZZB,Boeing 737-800,1440,38,165,2640,4920,0.85,1.65
AB201,2024-03-30,KUL,BKK,TN-ZNA,Airbus A330-300,11600,106,278,5004,18710,0.85,1.98
AB401,2024-03-30,KUL,PVG,TN-ZFB,Airbus A330-300,11100,101,275,4950,43120,0.85,3.58
AB101,2024-03-31,KUL,SIN,TN-ZNB,Boeing 737-800,1420,37,175,2800,4990,0.85,1.65
AB102,2024-03-31,SIN,KUL,TN-ZZB,Boeing 737-800,1460,38,168,2688,4930,0.85,1.68
AB201,2024-03-31,KUL,BKK,TN-ZNA,Airbus A330-300,11800,108,280,5040,18730,0.85,2
AB301,2024-03-31,SIN,HKG,TN-ZND,Airbus A330-200,10400,94,275,4950,29120,0.85,3.58
AB101,2024-04-01,KUL,SIN,TN-ZNB,Boeing 737-800,1440,38,178,2848,5000,0.86,1.68
AB102,2024-04-01,SIN,KUL,TN-ZZB,Boeing 737-800,1480,39,170,2720,4940,0.86,1.7
AB201,2024-04-01,KUL,BKK,TN-ZNA,Airbus A330-300,12000,110,285,5130,18750,0.86,2.02
AB501,2024-04-01,BKK,SGN,TN-ZNC,Boeing 737-900ER,1650,42,168,2688,5340,0.86,1.65
AB101,2024-04-02,KUL,SIN,TN-ZNB,Boeing 737-800,1460,38,180,2880,5010,0.86,1.7
AB102,2024-04-02,SIN,KUL,TN-ZZB,Boeing 737-800,1500,39,172,2752,4950,0.86,1.72
AB201,2024-04-02,KUL,BKK,TN-ZNA,Airbus A330-300,12200,112,288,5184,18770,0.86,2.05
AB401,2024-04-02,KUL,PVG,TN-ZFB,Airbus A330-300,11400,104,278,5004,43170,0.86,3.62
AB301,2024-04-03,SIN,HKG,TN-ZND,Airbus A330-200,10600,96,278,5004,29160,0.86,3.62
AB101,2024-04-03,KUL,SIN,TN-ZNB,Boeing 737-800,1480,39,182,2912,5020,0.86,1.72
AB102,2024-04-03,SIN,KUL,TN-ZZB,Boeing 737-800,1520,40,175,2800,4960,0.86,1.75
AB201,2024-04-03,KUL,BKK,TN-ZNA,Airbus A330-300,12400,114,292,5256,18790,0.86,2.08
AB501,2024-04-03,BKK,SGN,TN-ZNC,Boeing 737-900ER,1680,43,170,2720,5360,0.86,1.68
AB101,2024-04-04,KUL,SIN,TN-ZNB,Boeing 737-800,1500,40,185,2960,5030,0.86,1.75
AB102,2024-04-04,SIN,KUL,TN-ZZB,Boeing 737-800,1540,41,178,2848,4970,0.86,1.78
AB201,2024-04-04,KUL,BKK,TN-ZNA,Airbus A330-300,12600,116,295,5310,18810,0.86,2.1
AB401,2024-04-04,KUL,PVG,TN-ZFB,Airbus A330-300,11700,107,282,5076,43220,0.86,3.65
AB101,2024-04-05,KUL,SIN,TN-ZNB,Boeing 737-800,1520,40,188,3008,5040,0.86,1.78
AB102,2024-04-05,SIN,KUL,TN-ZZB,Boeing 737-800,1560,41,180,2880,4980,0.86,1.8
AB201,2024-04-05,KUL,BKK,TN-ZNA,Airbus A330-300,12800,118,298,5364,18830,0.86,2.12
AB301,2024-04-05,SIN,HKG,TN-ZND,Airbus A330-200,10800,98,282,5076,29200,0.86,3.65
AB501,2024-04-05,BKK,SGN,TN-ZNC,Boeing 737-900ER,1700,44,172,2752,5380,0.86,1.7
AB101,2024-04-06,KUL,SIN,TN-ZNB,Boeing 737-800,1540,41,190,3040,5050,0.86,1.8
AB102,2024-04-06,SIN,KUL,TN-ZZB,Boeing 737-800,1580,42,182,2912,4990,0.86,1.82
AB201,2024-04-06,KUL,BKK,TN-ZNA,Airbus A330-300,13000,120,302,5436,18850,0.86,2.15
AB401,2024-04-06,KUL,PVG,TN-ZFB,Airbus A330-300,12000,110,285,5130,43270,0.86,3.68
AB101,2024-04-07,KUL,SIN,TN-ZNB,Boeing 737-800,1560,41,192,3072,5060,0.86,1.82
AB102,2024-04-07,SIN,KUL,TN-ZZB,Boeing 737-800,1600,42,185,2960,5000,0.86,1.85
AB201,2024-04-07,KUL,BKK,TN-ZNA,Airbus A330-300,13200,122,305,5490,18870,0.86,2.18
AB301,2024-04-07,SIN,HKG,TN-ZND,Airbus A330-200,11000,100,285,5130,29240,0.86,3.68
AB101,2024-04-08,KUL,SIN,TN-ZNB,Boeing 737-800,1580,42,195,3120,5070,0.87,1.85
AB102,2024-04-08,SIN,KUL,TN-ZZB,Boeing 737-800,1620,43,188,3008,5010,0.87,1.88
AB201,2024-04-08,KUL,BKK,TN-ZNA,Airbus A330-300,13400,124,308,5544,18890,0.87,2.2
AB501,2024-04-08,BKK,SGN,TN-ZNC,Boeing 737-900ER,1720,45,175,2800,5400,0.87,1.72
AB101,2024-04-09,KUL,SIN,TN-ZNB,Boeing 737-800,1600,42,198,3168,5080,0.87,1.88
AB102,2024-04-09,SIN,KUL,TN-ZZB,Boeing 737-800,1640,43,190,3040,5020,0.87,1.9
AB201,2024-04-09,KUL,BKK,TN-ZNA,Airbus A330-300,13600,126,312,5616,18910,0.87,2.22
AB401,2024-04-09,KUL,PVG,TN-ZFB,Airbus A330-300,12300,113,288,5184,43320,0.87,3.72
AB301,2024-04-10,SIN,HKG,TN-ZND,Airbus A330-200,11200,102,288,5184,29280,0.87,3.72
AB101,2024-04-10,KUL,SIN,TN-ZNB,Boeing 737-800,1620,43,200,3200,5090,0.87,1.9
AB102,2024-04-10,SIN,KUL,TN-ZZB,Boeing 737-800,1660,44,192,3072,5030,0.87,1.92
AB201,2024-04-10,KUL,BKK,TN-ZNA,Airbus A330-300,13800,128,315,5670,18930,0.87,2.25
AB501,2024-04-10,BKK,SGN,TN-ZNC,Boeing 737-900ER,1750,46,178,2848,5420,0.87,1.75
AB101,2024-04-11,KUL,SIN,TN-ZNB,Boeing 737-800,1640,43,202,3232,5100,0.87,1.92
AB102,2024-04-11,SIN,KUL,TN-ZZB,Boeing 737-800,1680,44,195,3120,5040,0.87,1.95
AB201,2024-04-11,KUL,BKK,TN-ZNA,Airbus A330-300,14000,130,318,5724,18950,0.87,2.28
AB401,2024-04-11,KUL,PVG,TN-ZFB,Airbus A330-300,12600,116,292,5256,43370,0.87,3.75
AB101,2024-04-12,KUL,SIN,TN-ZNB,Boeing 737-800,1660,44,205,3280,5110,0.88,1.95
AB102,2024-04-12,SIN,KUL,TN-ZZB,Boeing 737-800,1700,45,198,3168,5050,0.88,1.98
AB201,2024-04-12,KUL,BKK,TN-ZNA,Airbus A330-300,14200,132,322,5796,18970,0.88,2.32
AB301,2024-04-12,SIN,HKG,TN-ZND,Airbus A330-200,11400,104,292,5256,29320,0.88,3.78
AB501,2024-04-12,BKK,SGN,TN-ZNC,Boeing 737-900ER,1780,47,180,2880,5440,0.88,1.78
AB101,2024-04-13,KUL,SIN,TN-ZNB,Boeing 737-800,1680,44,208,3328,5120,0.88,1.98
AB102,2024-04-13,SIN,KUL,TN-ZZB,Boeing 737-800,1720,45,200,3200,5060,0.88,2
AB201,2024-04-13,KUL,BKK,TN-ZNA,Airbus A330-300,14400,134,328,5904,18990,0.88,2.38
AB401,2024-04-13,KUL,PVG,TN-ZFB,Airbus A330-300,12800,118,295,5310,43420,0.88,3.8
AB101,2024-04-14,KUL,SIN,TN-ZNB,Boeing 737-800,1700,45,210,3360,5130,0.88,2
AB102,2024-04-14,SIN,KUL,TN-ZZB,Boeing 737-800,1740,46,202,3232,5070,0.88,2.02
AB201,2024-04-14,KUL,BKK,TN-ZNA,Airbus A330-300,14500,135,332,5976,19010,0.88,2.42
AB301,2024-04-14,SIN,HKG,TN-ZND,Airbus A330-200,11600,106,295,5310,29360,0.88,3.82
AB101,2024-04-15,KUL,SIN,TN-ZNB,Boeing 737-800,1720,46,212,3392,5140,0.88,2.02
AB102,2024-04-15,SIN,KUL,TN-ZZB,Boeing 737-800,1760,47,205,3280,5080,0.88,2.05
AB201,2024-04-15,KUL,BKK,TN-ZNA,Airbus A330-300,14500,136,335,6030,19030,0.88,2.45
AB501,2024-04-15,BKK,SGN,TN-ZNC,Boeing 737-900ER,1820,48,182,2912,5460,0.88,1.82
AB101,2024-04-16,KUL,SIN,TN-ZNB,Boeing 737-800,1680,44,205,3280,5120,0.88,1.98
AB102,2024-04-16,SIN,KUL,TN-ZZB,Boeing 737-800,1720,45,198,3168,5060,0.88,2
AB201,2024-04-16,KUL,BKK,TN-ZNA,Airbus A330-300,14300,133,325,5850,18990,0.88,2.38
AB401,2024-04-16,KUL,PVG,TN-ZFB,Airbus A330-300,12600,116,290,5220,43380,0.88,3.75
AB301,2024-04-17,SIN,HKG,TN-ZND,Airbus A330-200,11400,104,290,5220,29320,0.88,3.75
AB101,2024-04-17,KUL,SIN,TN-ZNB,Boeing 737-800,1640,43,200,3200,5100,0.88,1.95
AB102,2024-04-17,SIN,KUL,TN-ZZB,Boeing 737-800,1680,44,192,3072,5040,0.88,1.98
AB201,2024-04-17,KUL,BKK,TN-ZNA,Airbus A330-300,14100,131,320,5760,18970,0.88,2.35
AB501,2024-04-17,BKK,SGN,TN-ZNC,Boeing 737-900ER,1780,47,178,2848,5440,0.88,1.78
AB101,2024-04-18,KUL,SIN,TN-ZNB,Boeing 737-800,1600,42,195,3120,5080,0.88,1.92
AB102,2024-04-18,SIN,KUL,TN-ZZB,Boeing 737-800,1640,43,188,3008,5020,0.88,1.95
AB201,2024-04-18,KUL,BKK,TN-ZNA,Airbus A330-300,13900,129,315,5670,18950,0.88,2.32
AB401,2024-04-18,KUL,PVG,TN-ZFB,Airbus A330-300,12400,114,285,5130,43340,0.88,3.72
AB101,2024-04-19,KUL,SIN,TN-ZNB,Boeing 737-800,1560,41,190,3040,5060,0.88,1.88
AB102,2024-04-19,SIN,KUL,TN-ZZB,Boeing 737-800,1600,42,182,2912,5000,0.88,1.92
AB201,2024-04-19,KUL,BKK,TN-ZNA,Airbus A330-300,13700,127,310,5580,18930,0.88,2.28
AB301,2024-04-19,SIN,HKG,TN-ZND,Airbus A330-200,11200,102,285,5130,29280,0.88,3.68
AB501,2024-04-19,BKK,SGN,TN-ZNC,Boeing 737-900ER,1740,46,175,2800,5420,0.88,1.75
AB101,2024-04-20,KUL,SIN,TN-ZNB,Boeing 737-800,1520,40,185,2960,5040,0.88,1.85
AB102,2024-04-20,SIN,KUL,TN-ZZB,Boeing 737-800,1560,41,178,2848,4980,0.88,1.88
AB201,2024-04-20,KUL,BKK,TN-ZNA,Airbus A330-300,13500,125,305,5490,18910,0.88,2.25
AB401,2024-04-20,KUL,PVG,TN-ZFB,Airbus A330-300,12200,112,280,5040,43300,0.88,3.68
AB101,2024-04-21,KUL,SIN,TN-ZNB,Boeing 737-800,1480,39,180,2880,5020,0.88,1.82
AB102,2024-04-21,SIN,KUL,TN-ZZB,Boeing 737-800,1520,40,172,2752,4960,0.88,1.85
AB201,2024-04-21,KUL,BKK,TN-ZNA,Airbus A330-300,13300,123,300,5400,18890,0.88,2.22
AB301,2024-04-21,SIN,HKG,TN-ZND,Airbus A330-200,11000,100,280,5040,29240,0.88,3.65
AB101,2024-04-22,KUL,SIN,TN-ZNB,Boeing 737-800,1440,38,175,2800,5000,0.88,1.78
AB102,2024-04-22,SIN,KUL,TN-ZZB,Boeing 737-800,1480,39,168,2688,4940,0.88,1.82
AB201,2024-04-22,KUL,BKK,TN-ZNA,Airbus A330-300,13100,121,295,5310,18870,0.88,2.18
AB501,2024-04-22,BKK,SGN,TN-ZNC,Boeing 737-900ER,1700,44,172,2752,5400,0.88,1.72
AB101,2024-04-23,KUL,SIN,TN-ZNB,Boeing 737-800,1400,37,170,2720,4980,0.88,1.75
AB102,2024-04-23,SIN,KUL,TN-ZZB,Boeing 737-800,1440,38,162,2592,4920,0.88,1.78
AB201,2024-04-23,KUL,BKK,TN-ZNA,Airbus A330-300,12900,119,290,5220,18850,0.88,2.15
AB401,2024-04-23,KUL,PVG,TN-ZFB,Airbus A330-300,12000,110,275,4950,43260,0.88,3.65
AB301,2024-04-24,SIN,HKG,TN-ZND,Airbus A330-200,10800,98,275,4950,29200,0.88,3.62
AB101,2024-04-24,KUL,SIN,TN-ZNB,Boeing 737-800,1360,35,165,2640,4960,0.88,1.72
